Step,Action,Reasoning,Observation,Reward,Done
0,south,"<|NO_QUERY|><|END|>
<|ACTION|>south<|END|>","message:


language observation:
vertical wall far west
horizontal wall near south and southwest
gold piece near westsouthwest
dark area near northwest
horizontal wall very near north
dark area very near southeast
doorway very near northwest
stairs up adjacent north
vertical wall adjacent northeast and east
doorway adjacent southeast
tame kitten adjacent west

cursor:
Yourself a wizard
(x=8, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  -- -.---                                                                      
  |.....<|                                                                      
  |....f@|                                                                      
  |.$.....                                                                      
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:0    
Dlvl:1 $:0 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:2                                    

",0.0,False
1,southeast,"<|NO_QUERY|><|END|>
<|ACTION|>southeast<|END|>","message:


language observation:
vertical wall far west
gold piece near west
tame kitten near west
doorway near northwest
dark area near northwest
dark area very near northeast and east
horizontal wall very near southwest
stairs up very near northnorthwest
vertical wall adjacent north and south
dark area adjacent southeast

cursor:
Yourself a wizard
(x=9, y=18)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  --.-.---                                                                      
  |.....<|                                                                      
  |......|#                                                                     
  |.$.f..@#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:0    
Dlvl:1 $:0 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:3                                    

",0.0,False
2,west,"<|NO_QUERY|><|END|>
<|ACTION|>west<|END|>","message:


language observation:
vertical wall far west
horizontal wall near north and northwest
dark area near east
tame kitten near west
stairs up very near north
horizontal wall very near south and southwest
vertical wall adjacent northeast and southeast
doorway adjacent east

cursor:
Yourself a wizard
(x=8, y=18)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  --.-.---                                                                      
  |.....<|                                                                      
  |......|#                                                                     
  |.f...@.#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:0    
Dlvl:1 $:0 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:4                                    

",0.0,False
3,north,"<|NO_QUERY|><|END|>
<|ACTION|>north<|END|>","message:
The kitten picks up a gold piece.

language observation:
vertical wall far west
horizontal wall near south and southwest
gold piece near westsouthwest
tame kitten near west
dark area near northwest
horizontal wall very near north
dark area very near southeast
doorway very near northwest
stairs up adjacent north
vertical wall adjacent northeast and east
doorway adjacent southeast

cursor:
Yourself a wizard
(x=8, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  --.-.---                                                                      
  |.....<|                                                                      
  |..f..@|#                                                                     
  |.$.....#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:0    
Dlvl:1 $:0 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:5                                    

",0.0,False
4,east,"<|NO_QUERY|><|END|>
<|ACTION|>east<|END|>","message:
It's a wall.

language observation:
vertical wall far west
horizontal wall near south and southwest
gold piece near westsouthwest
tame kitten near west
dark area near northwest
horizontal wall very near north
dark area very near southeast
doorway very near northwest
stairs up adjacent north
vertical wall adjacent northeast and east
doorway adjacent southeast

cursor:
Yourself a wizard
(x=8, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  --.-.---                                                                      
  |.....<|                                                                      
  |..f..@|#                                                                     
  |.$.....#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:0    
Dlvl:1 $:0 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:5                                    

",0.0,False
5,north,"<|NO_QUERY|><|END|>
<|ACTION|>north<|END|>","message:


language observation:
vertical wall far west
horizontal wall near south and southwest
gold piece near westsouthwest
horizontal wall adjacent north and northwest
northeast room corner adjacent northeast
vertical wall adjacent east and southeast
tame kitten adjacent west

cursor:
Yourself a wizard
(x=8, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  --.-.---                                                                      
  |....f@|                                                                      
  |......|#                                                                     
  |.$.....#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:0    
Dlvl:1 $:0 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:6                                    

",0.0,False
6,southwest,"<|NO_QUERY|><|END|>
<|ACTION|>southwest<|END|>","message:
The kitten drops a gold piece.

language observation:
horizontal wall near south and southwest
gold piece near westsouthwest
vertical wall near west
horizontal wall very near north and northwest
northeast room corner very near northeast
vertical wall very near east and southeast
gold piece adjacent north
tame kitten adjacent northeast

cursor:
Yourself a wizard
(x=7, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  --.-.---                                                                      
  |....$f|                                                                      
  |....@.|#                                                                     
  |.$.....#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:0    
Dlvl:1 $:0 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:7                                    

",0.0,False
7,north,"<|NO_QUERY|><|END|>
<|ACTION|>north<|END|>","message:
$ - a gold piece.

language observation:
dark area near southeast
horizontal wall near south and southwest
gold piece near westsouthwest
vertical wall near west
vertical wall very near east
doorway very near southeast
dark area very near northwest
horizontal wall adjacent north and northeast
stairs up adjacent east
tame kitten adjacent south
doorway adjacent northwest

cursor:
Yourself a wizard
(x=7, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
  --.-.---                                                                      
  |....@<|                                                                      
  |....f.|#                                                                     
  |.$.....#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:1    
Dlvl:1 $:1 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:8                                    

",1.0,False
8,northwest,"<|QUERY|><|NO_QUERY|>
<|ACTION|>northwest<|END|>","message:


language observation:
doorway near southeast
dark area near southeast
tame kitten near south
horizontal wall near south
gold piece near southsouthwest
vertical wall near southwest
dark area very near north
stairs up very near eastsoutheast
dark area adjacent northeast and northwest
horizontal wall adjacent east and west

cursor:
Yourself a wizard
(x=6, y=15)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
      #                                                                         
  --.-@---                                                                      
  |.....<|                                                                      
  |......|#                                                                     
  |.$.f...#                                                                     
  |......|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:1    
Dlvl:1 $:1 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:9                                    

",0.0,False
9,southeast,"<|NO_QUERY|><|END|>
<|ACTION|>southeast<|END|>","message:


language observation:
dark area near southeast
tame kitten near south
horizontal wall near south and southwest
gold piece near westsouthwest
vertical wall near west
vertical wall very near east
doorway very near southeast
dark area very near northwest
horizontal wall adjacent north and northeast
stairs up adjacent east
doorway adjacent northwest

cursor:
Yourself a wizard
(x=7, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
      #                                                                         
  --.-.---                                                                      
  |....@<|                                                                      
  |......|#                                                                     
  |.$.....#                                                                     
  |....f.|                                                                      
  --------                                                                      
                                                                                
Agent the Evoker               St:13 Dx:12 Co:9 In:18 Wi:9 Ch:14 Neutral S:1    
Dlvl:1 $:1 HP:12(12) Pw:6(6) AC:9 Xp:1/0 T:10                                   

",0.0,False
